Measures,Text 1
Language,en
Word length (Sent SD),0.53
Word length (Sent Max),4.91
Word length (Sent Min),2.80
Sentence length (Doc),11.53
Sentence length (Sent Avg),11.53
Sentence length (Sent SD),5.31
Sentence length (Sent Max),24.00
Sentence length (Sent Min),3.00
Paragraph length (Doc),8.60
Type-token ratio (Doc),0.39
Type-token ratio (Sent Avg),0.94
Type-token ratio (Sent SD),0.072
Type-token ratio (Sent Max),1.00
Type-token ratio (Sent Min),0.70
Moving average type-token ratio (Doc),0.63
Honoré's statistic (Doc),616.11
Letter entropy (Doc),4.19
Letter entropy (Sent Avg),3.72
Letter entropy (Sent SD),0.27
Letter entropy (Sent Max),4.18
Letter entropy (Sent Min),3.02
Word entropy (Doc),6.81
Word entropy (Sent Avg),3.23
Word entropy (Sent SD),0.70
Word entropy (Sent Max),4.35
Word entropy (Sent Min),1.58
Zipf steepness of curve (Doc),0.74
Zipf goodness of fit (Doc),0.92
Zipf frequency (Doc),6.02
Zipf frequency (Sent Avg),5.99
Zipf frequency (Sent SD),0.34
Zipf frequency (Sent Max),6.54
Zipf frequency (Sent Min),4.69
Average contextual diversity (Doc),15.35
Average contextual diversity (Sent Avg),14.79
Average contextual diversity (Sent SD),4.57
Average contextual diversity (Sent Max),24.75
Average contextual diversity (Sent Min),4.43
Frequent word count (Doc),282.00
Frequent word count (Sent Avg),6.56
Frequent word count (Sent SD),3.03
Frequent word count (Sent Max),15.00
Frequent word count (Sent Min),2.00
Infrequent word count (Doc),26.00
Infrequent word count (Sent Avg),0.60
Infrequent word count (Sent SD),0.66
Infrequent word count (Sent Max),2.00
Infrequent word count (Sent Min),0.00
Unknown word count (Doc),5.00
Unknown word count (Sent Avg),0.12
Unknown word count (Sent SD),0.32
Unknown word count (Sent Max),1.00
Unknown word count (Sent Min),0.00
Frequent word incidence (Doc),568.55
Frequent word incidence (Sent Avg),576.86
Frequent word incidence (Sent SD),116.53
Frequent word incidence (Sent Max),1000.00
Frequent word incidence (Sent Min),333.33
Infrequent word incidence (Doc),52.42
Infrequent word incidence (Sent Avg),53.34
Infrequent word incidence (Sent SD),68.53
Infrequent word incidence (Sent Max),333.33
Infrequent word incidence (Sent Min),0.00
Unknown word incidence (Doc),10.08
Unknown word incidence (Sent Avg),10.85
Unknown word incidence (Sent SD),30.89
Unknown word incidence (Sent Max),111.11
Unknown word incidence (Sent Min),0.00
Word-lemma Levenshtein dist. (Doc),0.45
Word-lemma Levenshtein dist. (Sent Avg),0.51
Word-lemma Levenshtein dist. (Sent SD),0.31
Word-lemma Levenshtein dist. (Sent Max),1.33
Word-lemma Levenshtein dist. (Sent Min),0.00
Word types per lemma (Doc),1.12
Word types per lemma (Sent Avg),1.02
Word types per lemma (Sent SD),0.044
Word types per lemma (Sent Max),1.20
Word types per lemma (Sent Min),1.00
Word types per lemma (nouns) (Doc),1.07
Word types per lemma (nouns) (Sent Avg),0.84
Word types per lemma (nouns) (Sent SD),0.37
Word types per lemma (nouns) (Sent Max),1.00
Word types per lemma (nouns) (Sent Min),0.00
Word types per lemma (verbs) (Doc),1.27
Word types per lemma (verbs) (Sent Avg),1.04
Word types per lemma (verbs) (Sent SD),0.17
Word types per lemma (verbs) (Sent Max),2.00
Word types per lemma (verbs) (Sent Min),1.00
Word types per lemma (lexical items) (Doc),1.12
Word types per lemma (lexical items) (Sent Avg),1.01
Word types per lemma (lexical items) (Sent SD),0.053
Word types per lemma (lexical items) (Sent Max),1.25
Word types per lemma (lexical items) (Sent Min),1.00
Word types per lemma (grammatical items) (Doc),1.10
Word types per lemma (grammatical items) (Sent Avg),1.03
Word types per lemma (grammatical items) (Sent SD),0.069
Word types per lemma (grammatical items) (Sent Max),1.33
Word types per lemma (grammatical items) (Sent Min),1.00
Adjective length (Doc),5.20
Adjective length (Sent Avg),2.05
Adjective length (Sent SD),2.67
Adjective length (Sent Max),7.00
Adjective length (Sent Min),0.00
Adverb length (Doc),4.40
Adverb length (Sent Avg),1.93
Adverb length (Sent SD),2.30
Adverb length (Sent Max),7.00
Adverb length (Sent Min),0.00
Interjection length (Doc),4.00
Interjection length (Sent Avg),0.19
Interjection length (Sent SD),0.85
Interjection length (Sent Max),4.00
Interjection length (Sent Min),0.00
Lexical verb length (Doc),5.07
Lexical verb length (Sent Avg),4.60
Lexical verb length (Sent SD),1.90
Lexical verb length (Sent Max),8.33
Lexical verb length (Sent Min),0.00
Noun length (Doc),4.74
Noun length (Sent Avg),3.93
Noun length (Sent SD),1.99
Noun length (Sent Max),7.00
Noun length (Sent Min),0.00
Proper noun length (Doc),5.86
Proper noun length (Sent Avg),0.72
Proper noun length (Sent SD),2.07
Proper noun length (Sent Max),8.00
Proper noun length (Sent Min),0.00
Lexical item length (Doc),4.91
Lexical item length (Sent Avg),5.00
Lexical item length (Sent SD),0.87
Lexical item length (Sent Max),8.00
Lexical item length (Sent Min),3.67
Adposition length (Doc),2.85
Adposition length (Sent Avg),1.88
Adposition length (Sent SD),1.46
Adposition length (Sent Max),4.00
Adposition length (Sent Min),0.00
Auxiliary length (Doc),4.07
Auxiliary length (Sent Avg),2.27
Auxiliary length (Sent SD),2.16
Auxiliary length (Sent Max),5.00
Auxiliary length (Sent Min),0.00
Conjunction length (Doc),3.38
Conjunction length (Sent Avg),2.06
Conjunction length (Sent SD),1.80
Conjunction length (Sent Max),5.00
Conjunction length (Sent Min),0.00
Determiner length (Doc),2.14
Determiner length (Sent Avg),1.42
Determiner length (Sent SD),1.40
Determiner length (Sent Max),5.00
Determiner length (Sent Min),0.00
Numeral length (Doc),3.00
Numeral length (Sent Avg),0.21
Numeral length (Sent SD),0.77
Numeral length (Sent Max),3.00
Numeral length (Sent Min),0.00
Particle length (Doc),2.24
Particle length (Sent Avg),0.78
Particle length (Sent SD),1.10
Particle length (Sent Max),3.00
Particle length (Sent Min),0.00
Pronoun length (Doc),2.47
Pronoun length (Sent Avg),2.32
Pronoun length (Sent SD),1.22
Pronoun length (Sent Max),5.00
Pronoun length (Sent Min),0.00
Grammatical item length (Doc),2.77
Grammatical item length (Sent Avg),2.79
Grammatical item length (Sent SD),0.58
Grammatical item length (Sent Max),4.25
Grammatical item length (Sent Min),1.50
Verb length (Doc),4.82
Verb length (Sent Avg),4.71
Verb length (Sent SD),1.03
Verb length (Sent Max),7.50
Verb length (Sent Min),3.00
Adjective type-token ratio (Doc),0.84
Adjective type-token ratio (Sent Avg),0.40
Adjective type-token ratio (Sent SD),0.49
Adjective type-token ratio (Sent Max),1.00
Adjective type-token ratio (Sent Min),0.00
Adverb type-token ratio (Doc),0.60
Adverb type-token ratio (Sent Avg),0.43
Adverb type-token ratio (Sent SD),0.50
Adverb type-token ratio (Sent Max),1.00
Adverb type-token ratio (Sent Min),0.00
Interjection type-token ratio (Doc),0.50
Interjection type-token ratio (Sent Avg),0.047
Interjection type-token ratio (Sent SD),0.21
Interjection type-token ratio (Sent Max),1.00
Interjection type-token ratio (Sent Min),0.00
Lexical verb type-token ratio (Doc),0.71
Lexical verb type-token ratio (Sent Avg),0.90
Lexical verb type-token ratio (Sent SD),0.30
Lexical verb type-token ratio (Sent Max),1.00
Lexical verb type-token ratio (Sent Min),0.00
Noun type-token ratio (Doc),0.54
Noun type-token ratio (Sent Avg),0.82
Noun type-token ratio (Sent SD),0.37
Noun type-token ratio (Sent Max),1.00
Noun type-token ratio (Sent Min),0.00
