Measures	Text 1
Language	en
Third person pronoun incidence (Sent SD)	72.67
Third person pronoun incidence (Sent Max)	250.00
Third person pronoun incidence (Sent Min)	0.00
Interrogative incidence (Doc)	3.65
Interrogative incidence (Sent Avg)	5.79
Interrogative incidence (Sent SD)	25.96
Interrogative incidence (Sent Max)	142.86
Interrogative incidence (Sent Min)	0.00
Demonstrative incidence (Doc)	9.12
Demonstrative incidence (Sent Avg)	7.51
Demonstrative incidence (Sent SD)	19.76
Demonstrative incidence (Sent Max)	71.43
Demonstrative incidence (Sent Min)	0.00
Singular word incidence (Doc)	377.74
Singular word incidence (Sent Avg)	390.86
Singular word incidence (Sent SD)	152.92
Singular word incidence (Sent Max)	625.00
Singular word incidence (Sent Min)	0.00
Plural word incidence (Doc)	71.17
Plural word incidence (Sent Avg)	76.01
Plural word incidence (Sent SD)	157.07
Plural word incidence (Sent Max)	800.00
Plural word incidence (Sent Min)	0.00
Indefinite word incidence (Doc)	29.20
Indefinite word incidence (Sent Avg)	21.13
Indefinite word incidence (Sent SD)	37.28
Indefinite word incidence (Sent Max)	115.38
Indefinite word incidence (Sent Min)	0.00
Definite word incidence (Doc)	98.54
Definite word incidence (Sent Avg)	105.76
Definite word incidence (Sent SD)	79.36
Definite word incidence (Sent Max)	333.33
Definite word incidence (Sent Min)	0.00
Finite verb incidence (Doc)	124.09
Finite verb incidence (Sent Avg)	134.07
Finite verb incidence (Sent SD)	59.06
Finite verb incidence (Sent Max)	307.69
Finite verb incidence (Sent Min)	0.00
Infinitive verb incidence (Doc)	29.20
Infinitive verb incidence (Sent Avg)	25.15
Infinitive verb incidence (Sent SD)	58.26
Infinitive verb incidence (Sent Max)	285.71
Infinitive verb incidence (Sent Min)	0.00
Verbal adjective incidence (Doc)	20.07
Verbal adjective incidence (Sent Avg)	25.00
Verbal adjective incidence (Sent SD)	47.76
Verbal adjective incidence (Sent Max)	200.00
Verbal adjective incidence (Sent Min)	0.00
Past tense incidence (Doc)	124.09
Past tense incidence (Sent Avg)	133.09
Past tense incidence (Sent SD)	82.09
Past tense incidence (Sent Max)	400.00
Past tense incidence (Sent Min)	0.00
Present tense incidence (Doc)	12.77
Present tense incidence (Sent Avg)	18.88
Present tense incidence (Sent SD)	56.79
Present tense incidence (Sent Max)	230.77
