Measures	Text 1
Language	en
Adposition position SD (Sent Min)	0.00
Auxiliary position SD (Doc)	0.31
Auxiliary position SD (Sent Avg)	0.016
Auxiliary position SD (Sent SD)	0.069
Auxiliary position SD (Sent Max)	0.35
Auxiliary position SD (Sent Min)	0.00
Conjunction position SD (Doc)	0.29
Conjunction position SD (Sent Avg)	0.053
Conjunction position SD (Sent SD)	0.12
Conjunction position SD (Sent Max)	0.47
Conjunction position SD (Sent Min)	0.00
Determiner position SD (Doc)	0.30
Determiner position SD (Sent Avg)	0.23
Determiner position SD (Sent SD)	0.20
Determiner position SD (Sent Max)	0.61
Determiner position SD (Sent Min)	0.00
Numeral position SD (Doc)	0.25
Numeral position SD (Sent Avg)	0.0
Numeral position SD (Sent SD)	0.0
Numeral position SD (Sent Max)	0.00
Numeral position SD (Sent Min)	0.00
Particle position SD (Doc)	0.33
Particle position SD (Sent Avg)	0.040
Particle position SD (Sent SD)	0.14
Particle position SD (Sent Max)	0.59
Particle position SD (Sent Min)	0.00
Pronoun position SD (Doc)	0.27
Pronoun position SD (Sent Avg)	0.11
Pronoun position SD (Sent SD)	0.17
Pronoun position SD (Sent Max)	0.51
Pronoun position SD (Sent Min)	0.00
Grammatical item position SD (Doc)	0.29
Grammatical item position SD (Sent Avg)	0.33
Grammatical item position SD (Sent SD)	0.071
Grammatical item position SD (Sent Max)	0.43
Grammatical item position SD (Sent Min)	0.00
Verb position SD (Doc)	0.28
Verb position SD (Sent Avg)	0.25
Verb position SD (Sent SD)	0.16
Verb position SD (Sent Max)	0.57
Verb position SD (Sent Min)	0.00
Personal pronoun position SD (Doc)	0.27
Personal pronoun position SD (Sent Avg)	0.092
Personal pronoun position SD (Sent SD)	0.16
Personal pronoun position SD (Sent Max)	0.51
Personal pronoun position SD (Sent Min)	0.00
First person pronoun position SD (Doc)	0.24
First person pronoun position SD (Sent Avg)	0.012
First person pronoun position SD (Sent SD)	0.070
First person pronoun position SD (Sent Max)	0.43
First person pronoun position SD (Sent Min)	0.00
Second person pronoun position SD (Doc)	0.00
Second person pronoun position SD (Sent Avg)	0.0
Second person pronoun position SD (Sent SD)	0.0
Second person pronoun position SD (Sent Max)	0.00
Second person pronoun position SD (Sent Min)	0.00
Third person pronoun position SD (Doc)	0.28
Third person pronoun position SD (Sent Avg)	0.068
Third person pronoun position SD (Sent SD)	0.14
Third person pronoun position SD (Sent Max)	0.51
Third person pronoun position SD (Sent Min)	0.00
Interrogative position SD (Doc)	0.32
Interrogative position SD (Sent Avg)	0.0
Interrogative position SD (Sent SD)	0.0
Interrogative position SD (Sent Max)	0.00
Interrogative position SD (Sent Min)	0.00
Demonstrative position SD (Doc)	0.17
Demonstrative position SD (Sent Avg)	0.0
Demonstrative position SD (Sent SD)	0.0
Demonstrative position SD (Sent Max)	0.00
Demonstrative position SD (Sent Min)	0.00
Singular word position SD (Doc)	0.29
Singular word position SD (Sent Avg)	0.31
Singular word position SD (Sent SD)	0.12
Singular word position SD (Sent Max)	0.71
Singular word position SD (Sent Min)	0.00
Plural word position SD (Doc)	0.28
Plural word position SD (Sent Avg)	0.067
Plural word position SD (Sent SD)	0.13
Plural word position SD (Sent Max)	0.45
Plural word position SD (Sent Min)	0.00
Indefinite word position SD (Doc)	0.27
Indefinite word position SD (Sent Avg)	0.039
Indefinite word position SD (Sent SD)	0.11
Indefinite word position SD (Sent Max)	0.47
Indefinite word position SD (Sent Min)	0.00
Definite word position SD (Doc)	0.30
Definite word position SD (Sent Avg)	0.18
Definite word position SD (Sent SD)	0.22
Definite word position SD (Sent Max)	0.67
Definite word position SD (Sent Min)	0.00
Finite verb position SD (Doc)	0.27
Finite verb position SD (Sent Avg)	0.20
Finite verb position SD (Sent SD)	0.21
Finite verb position SD (Sent Max)	0.64
Finite verb position SD (Sent Min)	0.00
Infinitive verb position SD (Doc)	0.30
Infinitive verb position SD (Sent Avg)	0.041
Infinitive verb position SD (Sent SD)	0.13
Infinitive verb position SD (Sent Max)	0.59
Infinitive verb position SD (Sent Min)	0.00
Verbal adjective position SD (Doc)	0.30
Verbal adjective position SD (Sent Avg)	0.0
Verbal adjective position SD (Sent SD)	0.0
Verbal adjective position SD (Sent Max)	0.00
Verbal adjective position SD (Sent Min)	0.00
Past tense position SD (Doc)	0.28
Past tense position SD (Sent Avg)	0.19
Past tense position SD (Sent SD)	0.19
Past tense position SD (Sent Max)	0.57
Past tense position SD (Sent Min)	0.00
Present tense position SD (Doc)	0.21
Present tense position SD (Sent Avg)	0.014
Present tense position SD (Sent SD)	0.072
Present tense position SD (Sent Max)	0.43
Present tense position SD (Sent Min)	0.00
Passive voice position SD (Doc)	0.00
Passive voice position SD (Sent Avg)	0.0
Passive voice position SD (Sent SD)	0.0
Passive voice position SD (Sent Max)	0.00
Passive voice position SD (Sent Min)	0.00
Frequent word position SD (Doc)	0.29
Frequent word position SD (Sent Avg)	0.33
Frequent word position SD (Sent SD)	0.079
Frequent word position SD (Sent Max)	0.53
Frequent word position SD (Sent Min)	0.00
Infrequent word position SD (Doc)	0.29
Infrequent word position SD (Sent Avg)	0.20
Infrequent word position SD (Sent SD)	0.16
Infrequent word position SD (Sent Max)	0.48
Infrequent word position SD (Sent Min)	0.00
Unknown word position SD (Doc)	0.29
Unknown word position SD (Sent Avg)	0.0035
Unknown word position SD (Sent SD)	0.021
Unknown word position SD (Sent Max)	0.13
Unknown word position SD (Sent Min)	0.00
Word overlap count (Par-Doc Avg)	25.31
Word overlap count (Par-Doc SD)	15.10
Word overlap count (Par-Doc Max)	48.00
Word overlap count (Par-Doc Min)	6.00
Word overlap count (Sent-Doc Avg)	9.08
Word overlap count (Sent-Doc SD)	4.92
Word overlap count (Sent-Doc Max)	21.00
Word overlap count (Sent-Doc Min)	1.00
Word overlap count (Sent-Par Avg)	4.03
Word overlap count (Sent-Par SD)	2.99
Word overlap count (Sent-Par Max)	11.00
Word overlap count (Sent-Par Min)	0.00
Word overlap count (Sent-Sent Avg)	2.08
Word overlap count (Sent-Sent SD)	1.93
Word overlap count (Sent-Sent Max)	7.00
Word overlap count (Sent-Sent Min)	0.00
Lemma overlap count (Par-Doc Avg)	27.08
Lemma overlap count (Par-Doc SD)	15.60
Lemma overlap count (Par-Doc Max)	50.00
Lemma overlap count (Par-Doc Min)	6.00
Lemma overlap count (Sent-Doc Avg)	9.68
Lemma overlap count (Sent-Doc SD)	5.13
Lemma overlap count (Sent-Doc Max)	22.00
Lemma overlap count (Sent-Doc Min)	1.00
Lemma overlap count (Sent-Par Avg)	4.52
Lemma overlap count (Sent-Par SD)	3.24
Lemma overlap count (Sent-Par Max)	13.00
Lemma overlap count (Sent-Par Min)	1.00
Lemma overlap count (Sent-Sent Avg)	2.46
Lemma overlap count (Sent-Sent SD)	2.21
Lemma overlap count (Sent-Sent Max)	9.00
Lemma overlap count (Sent-Sent Min)	0.00
PoS overlap count (Par-Doc Avg)	42.15
PoS overlap count (Par-Doc SD)	24.05
PoS overlap count (Par-Doc Max)	74.00
PoS overlap count (Par-Doc Min)	6.00
PoS overlap count (Sent-Doc Avg)	14.81
PoS overlap count (Sent-Doc SD)	7.33
PoS overlap count (Sent-Doc Max)	31.00
PoS overlap count (Sent-Doc Min)	5.00
PoS overlap count (Sent-Par Avg)	13.24
PoS overlap count (Sent-Par SD)	6.59
PoS overlap count (Sent-Par Max)	29.00
PoS overlap count (Sent-Par Min)	4.00
PoS overlap count (Sent-Sent Avg)	7.83
PoS overlap count (Sent-Sent SD)	4.65
PoS overlap count (Sent-Sent Max)	20.00
PoS overlap count (Sent-Sent Min)	2.00
Feature overlap count (Par-Doc Avg)	72.23
Feature overlap count (Par-Doc SD)	40.03
Feature overlap count (Par-Doc Max)	126.00
Feature overlap count (Par-Doc Min)	7.00
Feature overlap count (Sent-Doc Avg)	25.43
Feature overlap count (Sent-Doc SD)	11.79
Feature overlap count (Sent-Doc Max)	53.00
Feature overlap count (Sent-Doc Min)	7.00
Feature overlap count (Sent-Par Avg)	21.94
Feature overlap count (Sent-Par SD)	9.76
Feature overlap count (Sent-Par Max)	48.00
Feature overlap count (Sent-Par Min)	6.00
Feature overlap count (Sent-Sent Avg)	14.00
Feature overlap count (Sent-Sent SD)	6.59
Feature overlap count (Sent-Sent Max)	26.00
Feature overlap count (Sent-Sent Min)	2.00
Word overlap ratio (Par-Doc Avg)	0.61
Word overlap ratio (Par-Doc SD)	0.14
Word overlap ratio (Par-Doc Max)	1.00
Word overlap ratio (Par-Doc Min)	0.50
Word overlap ratio (Sent-Doc Avg)	0.62
Word overlap ratio (Sent-Doc SD)	0.15
Word overlap ratio (Sent-Doc Max)	1.00
Word overlap ratio (Sent-Doc Min)	0.20
Word overlap ratio (Sent-Par Avg)	0.27
Word overlap ratio (Sent-Par SD)	0.13
Word overlap ratio (Sent-Par Max)	0.50
Word overlap ratio (Sent-Par Min)	0.0
Word overlap ratio (Sent-Sent Avg)	0.18
Word overlap ratio (Sent-Sent SD)	0.12
Word overlap ratio (Sent-Sent Max)	0.38
Word overlap ratio (Sent-Sent Min)	0.0
Lemma overlap ratio (Par-Doc Avg)	0.67
Lemma overlap ratio (Par-Doc SD)	0.15
Lemma overlap ratio (Par-Doc Max)	1.00
Lemma overlap ratio (Par-Doc Min)	0.50
Lemma overlap ratio (Sent-Doc Avg)	0.66
Lemma overlap ratio (Sent-Doc SD)	0.16
Lemma overlap ratio (Sent-Doc Max)	1.00
Lemma overlap ratio (Sent-Doc Min)	0.20
Lemma overlap ratio (Sent-Par Avg)	0.31
Lemma overlap ratio (Sent-Par SD)	0.13
Lemma overlap ratio (Sent-Par Max)	0.60
Lemma overlap ratio (Sent-Par Min)	0.053
Lemma overlap ratio (Sent-Sent Avg)	0.22
Lemma overlap ratio (Sent-Sent SD)	0.12
Lemma overlap ratio (Sent-Sent Max)	0.40
Lemma overlap ratio (Sent-Sent Min)	0.0
PoS overlap ratio (Par-Doc Avg)	1.00
PoS overlap ratio (Par-Doc SD)	0.0
PoS overlap ratio (Par-Doc Max)	1.00
PoS overlap ratio (Par-Doc Min)	1.00
PoS overlap ratio (Sent-Doc Avg)	1.00
PoS overlap ratio (Sent-Doc SD)	0.0
PoS overlap ratio (Sent-Doc Max)	1.00
PoS overlap ratio (Sent-Doc Min)	1.00
PoS overlap ratio (Sent-Par Avg)	0.92
PoS overlap ratio (Sent-Par SD)	0.081
PoS overlap ratio (Sent-Par Max)	1.00
PoS overlap ratio (Sent-Par Min)	0.75
PoS overlap ratio (Sent-Sent Avg)	0.77
PoS overlap ratio (Sent-Sent SD)	0.20
PoS overlap ratio (Sent-Sent Max)	1.00
PoS overlap ratio (Sent-Sent Min)	0.40
Feature overlap ratio (Par-Doc Avg)	0.98
Feature overlap ratio (Par-Doc SD)	0.036
Feature overlap ratio (Par-Doc Max)	1.00
Feature overlap ratio (Par-Doc Min)	0.88
Feature overlap ratio (Sent-Doc Avg)	0.99
Feature overlap ratio (Sent-Doc SD)	0.029
Feature overlap ratio (Sent-Doc Max)	1.00
Feature overlap ratio (Sent-Doc Min)	0.88
Feature overlap ratio (Sent-Par Avg)	0.88
Feature overlap ratio (Sent-Par SD)	0.098
Feature overlap ratio (Sent-Par Max)	1.00
Feature overlap ratio (Sent-Par Min)	0.66
Feature overlap ratio (Sent-Sent Avg)	0.78
Feature overlap ratio (Sent-Sent SD)	0.20
Feature overlap ratio (Sent-Sent Max)	1.00
Feature overlap ratio (Sent-Sent Min)	0.22
Levenshtein character dist. (Par-Doc Avg)	0.92
Levenshtein character dist. (Par-Doc SD)	0.043
Levenshtein character dist. (Par-Doc Max)	0.99
Levenshtein character dist. (Par-Doc Min)	0.86
Levenshtein character dist. (Sent-Doc Avg)	0.97
Levenshtein character dist. (Sent-Doc SD)	0.014
Levenshtein character dist. (Sent-Doc Max)	0.99
Levenshtein character dist. (Sent-Doc Min)	0.94
Levenshtein character dist. (Sent-Par Avg)	0.79
Levenshtein character dist. (Sent-Par SD)	0.067
Levenshtein character dist. (Sent-Par Max)	0.93
Levenshtein character dist. (Sent-Par Min)	0.70
Levenshtein character dist. (Sent-Sent Avg)	0.75
Levenshtein character dist. (Sent-Sent SD)	0.050
Levenshtein character dist. (Sent-Sent Max)	0.83
Levenshtein character dist. (Sent-Sent Min)	0.65
Levenshtein word dist. (Par-Doc Avg)	0.97
Levenshtein word dist. (Par-Doc SD)	0.018
Levenshtein word dist. (Par-Doc Max)	0.99
Levenshtein word dist. (Par-Doc Min)	0.94
Levenshtein word dist. (Sent-Doc Avg)	0.99
Levenshtein word dist. (Sent-Doc SD)	0.0069
Levenshtein word dist. (Sent-Doc Max)	1.00
Levenshtein word dist. (Sent-Doc Min)	0.97
Levenshtein word dist. (Sent-Par Avg)	0.94
Levenshtein word dist. (Sent-Par SD)	0.036
Levenshtein word dist. (Sent-Par Max)	1.00
Levenshtein word dist. (Sent-Par Min)	0.87
Levenshtein word dist. (Sent-Sent Avg)	0.94
Levenshtein word dist. (Sent-Sent SD)	0.059
Levenshtein word dist. (Sent-Sent Max)	1.00
Levenshtein word dist. (Sent-Sent Min)	0.82
Levenshtein lemma dist. (Par-Doc Avg)	0.96
Levenshtein lemma dist. (Par-Doc SD)	0.020
Levenshtein lemma dist. (Par-Doc Max)	0.99
Levenshtein lemma dist. (Par-Doc Min)	0.93
Levenshtein lemma dist. (Sent-Doc Avg)	0.99
Levenshtein lemma dist. (Sent-Doc SD)	0.0073
Levenshtein lemma dist. (Sent-Doc Max)	1.00
Levenshtein lemma dist. (Sent-Doc Min)	0.97
Levenshtein lemma dist. (Sent-Par Avg)	0.93
Levenshtein lemma dist. (Sent-Par SD)	0.038
Levenshtein lemma dist. (Sent-Par Max)	1.00
Levenshtein lemma dist. (Sent-Par Min)	0.85
Levenshtein lemma dist. (Sent-Sent Avg)	0.92
Levenshtein lemma dist. (Sent-Sent SD)	0.064
Levenshtein lemma dist. (Sent-Sent Max)	1.00
Levenshtein lemma dist. (Sent-Sent Min)	0.80
Levenshtein PoS dist. (Par-Doc Avg)	0.92
Levenshtein PoS dist. (Par-Doc SD)	0.050
Levenshtein PoS dist. (Par-Doc Max)	0.99
Levenshtein PoS dist. (Par-Doc Min)	0.85
Levenshtein PoS dist. (Sent-Doc Avg)	0.97
Levenshtein PoS dist. (Sent-Doc SD)	0.014
Levenshtein PoS dist. (Sent-Doc Max)	0.99
Levenshtein PoS dist. (Sent-Doc Min)	0.94
Levenshtein PoS dist. (Sent-Par Avg)	0.75
Levenshtein PoS dist. (Sent-Par SD)	0.10
Levenshtein PoS dist. (Sent-Par Max)	0.92
Levenshtein PoS dist. (Sent-Par Min)	0.53
Levenshtein PoS dist. (Sent-Sent Avg)	0.73
Levenshtein PoS dist. (Sent-Sent SD)	0.12
Levenshtein PoS dist. (Sent-Sent Max)	0.92
Levenshtein PoS dist. (Sent-Sent Min)	0.46
Cosine dist. (Par-Doc Avg)	0.79
Cosine dist. (Par-Doc SD)	0.16
Cosine dist. (Par-Doc Max)	0.92
Cosine dist. (Par-Doc Min)	0.35
Cosine dist. (Sent-Doc Avg)	0.70
Cosine dist. (Sent-Doc SD)	0.13
Cosine dist. (Sent-Doc Max)	0.86
Cosine dist. (Sent-Doc Min)	0.35
Cosine dist. (Sent-Par Avg)	0.66
Cosine dist. (Sent-Par SD)	0.12
Cosine dist. (Sent-Par Max)	0.81
Cosine dist. (Sent-Par Min)	0.27
Cosine dist. (Sent-Sent Avg)	0.53
Cosine dist. (Sent-Sent SD)	0.15
Cosine dist. (Sent-Sent Max)	0.73
Cosine dist. (Sent-Sent Min)	0.15
